Property Name,Country,Area,Location,GPS Coordinates,Primary Photo,Subheadline,Header,Description,Tags,Photos
sana mane,Japan,Naoshima,sana mane,"34.450313,133.976358",https://media.safariportal.app/store/asset/2060963/file/a5e008fe3e67c0b0814036f52b32dc58.png,,Property Overview,"Sana Mane is a unique hotel situated in the picturesque Naoshima, Japan, offering guests a prime beachfront location. The property features a private beach area, a sun terrace, and a lush garden, creating a serene environment for relaxation. 

Accommodations at Sana Mane are designed for comfort and elegance. Each of the 4-star luxury tents comes equipped with air-conditioning, a private bathroom featuring a bidet, and stunning views of the sea, garden, or mountains. Additional amenities include a terrace, a dining area, and complimentary toiletries, enhancing the overall guest experience.

The hotel prides itself on exceptional services, including private check-in and check-out, a cozy lounge, daily housekeeping, and outdoor seating options. For those traveling with bicycles, there is dedicated bicycle parking, and luggage storage is also available for convenience. Notably, guests can unwind in the unique sauna, adding a special touch to their stay.

Sana Mane's location is ideal for exploring nearby attractions. The Naoshima Pavilion is just a six-minute walk away, while the historic Sumiyoshi-taisha Temple is less than 0.6 miles from the hotel. For art enthusiasts, the renowned Chichu Art Museum is a 14-minute walk, showcasing contemporary art in a beautiful setting.","",https://media.safariportal.app/store/asset/2060964/file/e54dedb1d9fc4bf9d3b08a2ab580dba4.jpg
WORM,Japan,Awaji Island,WORM Awaji Island,"34.505922,134.974366",https://media.safariportal.app/store/asset/2060993/file/59bde4b411e45e2804b6d65d37574231.jpg,,Property Overview,"WORM is situated in the northeastern part of Awaji Island, nestled within a farming community that overlooks Osaka Bay. The property enjoys a temperate climate and abundant sunshine, complemented by a gentle breeze. Perched on a gentle hill, it offers expansive views of the ocean and sky, while remaining easily accessible from nearby cities.

Since 2020, eh owners  have embraced this location as home. The guest complex, where visitors will stay, is adjacent to the main house, which also houses the husband's design studio on the first floor. Behind these buildings, terraced fields are cultivated with various vegetables, herbs, and fruit trees. Guests are welcome to participate in the seasonal harvest, fostering a connection to the land.

The owners cherish the bounty the soil provides and invite you to experience the vibrant colors and sounds of the landscape. Engaging in daily agricultural activities not only nurtures the body but also enriches the spirit. We hope your stay here will cultivate a deeper connection within and enhance your sensory experience.","",https://media.safariportal.app/store/asset/2061000/file/7b701ec9ffb31164b2ad509749c6f5f6.jpg
KAMOME SLOW HOTEL,Japan,Awaji Island,KAMOME SLOW HOTEL,"34.486253,134.853431",https://media.safariportal.app/store/asset/2061045/file/135f3b4af6c5e8b8800fd62658034bb8.jpg,,Property Overview,"KAMOME SLOW HOTEL is nestled in the picturesque Mitoyo region. This adults-only retreat offers beautifully appointed rooms that showcase stunning sea views, complete with air-conditioning and modern amenities for your comfort. Each accommodation features a private balcony, terrace, or patio, inviting you to unwind and immerse yourself in the tranquil surroundings.

You can spend your days basking in the sun on the expansive terrace, stroll through the lush gardens, or take a refreshing dip in the year-round outdoor swimming pool. Enjoy complimentary WiFi throughout the hotel, relax in our cozy lounge, or gather around the outdoor fireplace for a leisurely evening.

The dining experience consists on a modern restaurant, where they serve exquisite Italian cuisine for both brunch and dinner. The dedicated team is here to cater to your every need, offering room service, breakfast in your room, and a 24-hour front desk to ensure a seamless stay.

Conveniently located just 36 miles from Kobe Airport and 25 miles from the iconic Akashi Kaikyo Bridge, KAMOME SLOW HOTEL provides easy access to local attractions. Plus, with free on-site private parking, your journey to explore the beauty of Awaji Island is made even easier.","",https://media.safariportal.app/store/asset/2061041/file/30f19ab3da911096ce95adf230240834.jpg
Hotel Kanra Kyoto,Japan,Kyoto,Hotel Kanra Kyoto,"34.993534,135.759418",https://media.safariportal.app/store/asset/154607/file/19fe8e5d3b036b232e00f3f4ced70745.jpg,,Property Overview,"""Kan"" in ""Kanra"" stems from the letter ""Kan"" (experience) and ""Ra"" comes from the letter ""Raku"" (Kyoto). Hotel Kanra Kyoto is where guests can ""experience"" the spirit of this city that embraces the beauty, wisdom, and hospitality of Japan.

The decor is a modern Machiya style, built with natural materials such as wood, stone, and iron, and crafted with traditional skills and techniques from Kyoto.

The 68 rooms and suites are in a Japanese and Western style and include all modern necessities. Beds range in size from full to extra wide king beds, and some rooms and suites have a spacious outdoor bath made of cypress set in a Japanese garden on a terrace. Here, guests can enjoy peaceful relaxation to their heart's content.","",https://media.safariportal.app/store/asset/154558/file/2f58045174d8277ee3526a2a02664937.jpg
Noku Kyoto,Japan,Kyoto,Noku Kyoto,"35.016987,135.759128",https://media.safariportal.app/store/asset/2061222/file/4960037bb1e6e4f60e1e7b0a8e635c06.jpg,,Property Overview,"Nestled in the heart of Japan, Kyoto is a captivating city that seamlessly blends ancient tradition with modern allure. Visitors are transported back in time as they wander through the city's enchanting streets, lined with historic temples, serene shrines, and meticulously manicured gardens. 

Noku Kyoto offers intimate accommodations in which every pattern, every weave, and every carving is a curated experience of Kyoto’s rich cultural heritage. Guests will enjoy personalized service, attention to detail, heartwarming smiles, and simple honesty from the staff.

Noku Kyoto sits quietly at the southwest corner of the Kyoto Imperial Palace, offering an understated base from which to explore the city’s cultural heart.  Its service is consistently noted for anticipation and attentiveness, from practical gestures like umbrellas and reservations to thoughtful front-of-house engagement that enhances the feeling of ease and welcome.

Rooms are designed to feel both contemporary and intimately connected to Kyoto’s heritage, providing a quiet sanctuary after a day of exploration. In public spaces and guest rooms alike, Noku balances a calm, minimalist aesthetic with a genuine sense of hospitality, an approach that resonates with the city’s blend of history and modern life and helps the hotel stand out within Kyoto’s boutique landscape.","",https://media.safariportal.app/store/asset/550184/file/27bcb8ed0e8eae4de701960de25c4506.jpeg
Hatago Vison,Japan,Ise Shima,"Taki, 5 San Sebastian Street, 672-1, Taki-cho","34.515235,136.569841",https://media.safariportal.app/store/asset/2065811/file/0a63ed92f0497e7642d486204db79b1d.jpg,,Property Overview,"Hatago inn was built using the traditional Japanese timber framework method that utilizes a combination of columns and beams. Great care has been taken in designing the details, right down to the windows, so that people from all over the world can experience the elegance of Japan. 

The hatago inn consists of four buildings where in the guest rooms you can enjoy the refined atmosphere designed by the first floor tenants. It’s an accessible way for families and groups to have an experience beyond the day-to-day.

The hotel features a sauna, providing a relaxing environment for guests. Free on-site private parking is available, ensuring convenience for all visitors.

A variety of breakfast options are available, including Italian and Asian selections. The on-site restaurant caters to diverse preferences, enhancing the dining experience.

Nestled just 77 miles from Nagoya Airport, Hatago Vison offers easy access to local attractions, including the revered Ise Grand Shrine (16 miles away) and Matsusaka Station (11 miles away), making it an ideal base for your adventures.","",https://media.safariportal.app/store/asset/2065714/file/1218884f40e0c54d72b69e4893490c7a.jpg
Espacio Hakone,Japan,Hakone,"57-2 Miyanoshita, Hakone, Ashigarashimo District, Kanagawa 250-0404, Japan","35.244935,139.06386",https://media.safariportal.app/store/asset/2073097/file/7594a8404e61bb62245ffc976c5da7de.png,,Property Overview,"Enveloped in the constantly changing lush nature of Japan’s four bountiful seasons, Hakone’s Miyanoshita area is a one-of-a-kind paradise. Here, 100 meters down in a secluded and unexplored valley, lies ESPACIO The Hakone Geihinkan Rin-Poh-Ki-Ryu, a beautiful retreat surrounded by nothing but calm, peaceful silence and the gentle murmuring of the nearby river. This place was simply made for Hakone.

ESPACIO The Hakone Geihinkan Rin-Poh-Ki-Ryu boasts exclusive access to the source of the Dogashima hot spring, which is so rare that it borders on folklore. Its location in a secluded, unexplored valley makes it the most prized of the “Seven Hot Springs of Hakone.”

Muso Soseki, a high priest of the Rinzai Zen Buddhist sect, founded the Dogashima Onsen（hot spring） in the Nanbokucho period (1336 - 1392). A trusted advisor to both Emperor Godaigo and Shogun Ashikaga Takauji, Soseki was responsible for the design of many World Heritage scenic gardens, such as the Saiho-ji Temple Moss Garden in Kyoto and the Zuisen-ji Temple Garden in Kamakura.

The name “Dogashima”, or “magnificent island”, was chosen due to the unique topography of the area at the time, which resembled an island rising out of a steep valley. Soseki was said to be enamoured with Dogashima’s idyllic atmosphere and abundant hot springs.

No two hot spring sources are the same, but Dogashima is particularly special. This region boasts a long history that began with Muso Soseki, but has grown and flourished with the sheer energy of the powerful earth and Miyanoshita's ever-evolving geological strata.

This is why the hot spring water at ESPACIO The Hakone Geihinkan Rin-Poh-Ki-Ryu is never diluted using a heat exchanger – it flows freely to the baths in each guest room in its purest state.","",https://media.safariportal.app/store/asset/2072829/file/175424fc1db464b39c7c4ae9bbef526f.png
The Ritz-Carlton Nikko,Japan,Nikko,The Ritz-Carlton Nikko,"36.738334,139.4977",https://media.safariportal.app/store/asset/2077707/file/e752c1f611a57ae245ba3c08f7502235.jpg,,Property Overview,"Nestled within Nikko National Park, our luxury hotel in Nikko, Japan offers spacious guest rooms with graceful Japanese design, showcasing serene views of Lake Chuzenji and Mount Nantai. Indulge in local Tochigi ingredients at our restaurants and bars. Elevate your stay with the world's first hot spring for the Ritz-Carlton brand, sourced from the Yumoto Onsen. Explore our activities and discover a place where nature, traditional culture, and spirituality converge at The Ritz-Carlton, Nikko.","",https://media.safariportal.app/store/asset/2077706/file/71640c835e992b558fe8eeb772978cd9.jpg
Mitsui Garden Jingugaien,Japan,Tokyo,Mitsui Garden Jingugaien,"35.679947,139.715511",https://media.safariportal.app/store/asset/2100653/file/837265dbffaae388c25b9ff77a524a48.jpg,,Property Overview,"Mitsui Garden Hotel Jingugaien Premier is a calm and refined retreat in the heart of Tokyo. Surrounded by greenery and close to the wide avenues of Meiji Jingu Gaien, it offers a rare sense of space and quiet in the city.

The design is modern yet warm, with natural materials and soft tones that create a peaceful atmosphere. Rooms are comfortable and thoughtfully laid out, ideal for unwinding after a day of exploring.

One of the highlights is the large public bath, where you can relax while looking out over the city skyline. It’s a beautiful moment of stillness, very much in line with the Japanese way of slowing down and recharging.","",https://media.safariportal.app/store/asset/2077694/file/78d818e3ec76fe8223cfb98c186d0e83.png
YADORU KYOTO HANARE Tsukikage No Yado,Japan,Kyoto,YADORU KYOTO HANARE Tsukikage No Yado,"34.997794,135.777498",https://media.safariportal.app/store/asset/2077740/file/fbb25b03575a2881d60c95cdb7416be4.png,,Property Overview,"Discover the charm of YADORU KYOTO HANARE Tsukikage No Yado, a delightful villa in Kyoto that boasts two spacious bedrooms and a well-appointed bathroom. Guests can indulge in the luxury of a private open-air bath, surrounded by a tranquil garden, while enjoying complimentary WiFi throughout the property.

This villa is designed for ultimate comfort, featuring air-conditioning, a fully equipped kitchen, and traditional tatami flooring. Additional conveniences include a coffee machine, microwave, television, and complimentary toiletries, ensuring a pleasant and enjoyable stay.

Ideally situated less than 0.6 miles from the iconic Kiyomizu-dera Temple and Sanjusangen-do Temple, this property is just a short stroll from Gion Shijo Station. Itami Airport is conveniently located 28 miles away, making it an accessible choice for travelers. The villa is highly rated for its prime location, offering easy access to Kyoto’s cultural treasures.","",https://media.safariportal.app/store/asset/2077736/file/e339b23c81553dcb3b24cd10b26043b4.png
Tokyu Stay Shibuya Ebisu,Japan,Tokyo,Tokyu Stay Shibuya Ebisu,"35.647019,139.708346",https://media.safariportal.app/store/asset/2082619/file/1b0e04718ad2b464b81e768145a057d0.jpg,,Property Overview,"Tokyu Stay Shibuya Ebisu is an exciting new hotel set to open in mid-March 2026, perfectly situated in the charming and central Ebisu district of Tokyo. This area is known for its vibrant atmosphere and is a great alternative to the bustling Ginza, offering a more relaxed yet equally appealing experience. 

The hotel caters to families with spacious family rooms, making it an ideal choice for those traveling with children. Guests can also indulge in delightful meals at the hotel's European restaurant and unwind at the bar, providing a perfect blend of comfort and culinary experiences during their stay in Tokyo.","",https://media.safariportal.app/store/asset/2082630/file/2cea2772ce03e85f7e41caa8fe766d40.png
nol hakone myojindai ,Japan,Hakone,nol hakone myojindai,"35.260498,139.048987",https://media.safariportal.app/store/asset/2082678/file/15d84f0a58add0ceb809c56b81ece873.jpg,,Property Overview,"nol hakone myojindai is a hotel situated in the scenic area of Hakone, Japan. It offers guests easy access to the region's famous hot springs and natural beauty. The hotel serves as a convenient base for exploring attractions such as the Hakone Open-Air Museum and Lake Ashi. Visitors can enjoy a blend of traditional Japanese hospitality and modern amenities, making it suitable for both relaxation and adventure in this popular tourist destination.","",https://media.safariportal.app/store/asset/2082679/file/1cea13b8aa6064a72e0c5b508243af6e.jpg
WAKKA,Japan,Shimanami Kaido,"Ehime, Imabari, 上浦町井口　6691-1, Japan","34.26418,133.042616",https://media.safariportal.app/store/asset/2082867/file/5e387f3c50779fbeb1d5c539495a4bd8.jpg,,Property Overview,"Experience tranquility with breathtaking views of the Shimanami Kaido at WAKKA. The five distinct room types offer stunning vistas of the Seto Inland Sea, perfect for those seeking a peaceful retreat amid cycling and sightseeing adventures.

The flagship residence, themed ""Quiet Setouchi,"" invites you to unwind while gazing at the historic Tatara Strait, once frequented by the Murakami Pirates. This room pays homage to the region’s rich salt trade history and features views of the picturesque Tatara Ohashi Bridge, renowned as the most beautiful bridge in Shimanami.

For a more intimate experience, the cottages provide a spectacular panorama of Tatara Bridge and Ikuchishima Island. Whether day or night, enjoy the serene ambiance from your terrace or within the elegantly furnished rooms, designed to harmonize with nature.

WAKKA is your gateway to the enchanting Shimanami Kaido, dedicated to enhancing your travel experience with all the services you need for a memorable stay.","",https://media.safariportal.app/store/asset/2082860/file/740e4b17a3e8ce2422e61ae42a30730f.jpg
Tsuki Tokyo,Japan,Tokyo,Tsuki Tokyo,"35.66927,139.771614",https://media.safariportal.app/store/asset/2173323/file/877699e8e1d8a32a0a686c05522d71d5.jpg,,Property Overview,"TSUKI Tokyo is a refined boutique hotel tucked into the quiet streets of Tsukiji, just moments from Ginza and the legacy of the historic fish market. Intimate in scale and thoughtful in detail, the hotel blends contemporary comfort with understated Japanese aesthetics, creating a calm retreat in the heart of the city.

Rooms are designed with natural wood, soft lighting, and a warm, minimalist sensibility that feels both modern and distinctly Tokyo. Select rooms feature beautifully crafted wooden soaking tubs, offering a serene bathing ritual after a day exploring. TSUKI is ideal for travelers seeking a design forward stay with a quiet, residential atmosphere and a strong sense of place.","",https://media.safariportal.app/store/asset/2173324/file/d7e1bc26d62494296755252ed03b17a6.jpg
Tsuki Ginza,Japan,Tokyo,TsukiTokyo,"35.66927,139.771614",https://media.safariportal.app/store/asset/2082930/file/6d9701b651e59f0fd2dd4658a421d911.png,,Property Overview,"Tsuki Ginza is situated in the heart of Tokyo, Japan, a bustling metropolis known for its unique blend of traditional culture and modern innovation. As one of the most populous cities in the world, Tokyo offers an array of attractions and experiences for every traveler.

When visiting Tsuki Ginza, you are in proximity to some of Tokyo's most iconic landmarks. Just a short distance away, you can explore the historic Asakusa district, home to the famous Senso-ji Temple, which is a must-visit for its stunning architecture and vibrant atmosphere. Additionally, the nearby Tokyo Skytree provides breathtaking views of the city from its observation decks.

For those interested in shopping and dining, the Ginza area is renowned for its luxury boutiques and gourmet restaurants. Here, visitors can experience the latest in Japanese fashion and cuisine, making it an excellent destination for a day out.

Tokyo is also well-connected through its extensive public transportation system, making it easy to explore other neighborhoods like Shibuya, known for its bustling scramble crossing, and Harajuku, famous for its quirky fashion and youth culture.

In summary, Tsuki Ginza serves as a perfect base for exploring the rich tapestry of experiences that Tokyo has to offer, from cultural landmarks to modern attractions. Whether you are a first-time visitor or returning to the city, there's always something new to discover in this vibrant capital.","",
The Lively,Japan,Tokyo,The Lively Tokyo,"35.656929,139.733101",https://media.safariportal.app/store/asset/2096108/file/50f806b48e8887b140e0f2d17ea1e2d3.jpg,,Property Overview,"THE LIVELY Tokyo Azabu-Juban is a lifestyle hotel in one of Tokyo’s most eclectic neighbourhoods, a short walk from Azabu-Juban Station and surrounded by cafés, restaurants, and boutiques. The property blends guest rooms with lively shared spaces designed to support both work and socializing, including a lounge/coworking area with seating, games, and complimentary evening beer, and a rooftop bar with views over the city and Tokyo Tower.

The hotel offers 62 rooms, all more than 19 m², with independent bathrooms, Serta pocket-coil mattresses, and flexible layouts for solo travellers, couples, families, and groups. Options include standard doubles, king rooms, and loft suites with terraces. Rooms are arranged to feel open and functional, with thoughtful lighting and integrated furniture. Guests can also use mobile check-in/out, in-room ordering via smartphone, and lounges for work or relaxation.","",https://media.safariportal.app/store/asset/2096119/file/6be22c3d8f7e188e15aac0a963a22667.jpeg
Kyoto Ikehan,Japan,Kyoto,ikehan kyoto,"34.994609,135.767241",https://media.safariportal.app/store/asset/2088440/file/2a61b01d0b13b256c54496983c1db6f3.png,,Property Overview,"Omoya and Kyoto Ikehan are small, townhouse-style accommodations located in quiet residential areas of Kyoto.

 They are designed to give guests more space and privacy than a standard hotel, with a layout similar to a Japanese home.","",
Hotel Noum,Japan,Osaka,Hotel Noum,"34.692287,135.51462",https://media.safariportal.app/store/asset/2088565/file/d2ab91a5fd1ccd845c311f881c770011.jpg,,Property Overview,"Hotel Noum in Osaka boasts a central location with breathtaking river views, situated just under 0.6 miles from the Dawn Center and a mere 10-minute stroll to Nakanoshima Park. Osaka Castle is conveniently located 1.9 miles away.

Each room is equipped with air conditioning, complimentary WiFi, and private bathrooms featuring walk-in showers. Additional amenities include soundproofing, bidets, and picturesque river views.

Guests can indulge in brunch at the on-site restaurant and relax at the bar. The hotel also offers a coffee shop, bicycle parking, bike rentals, and luggage storage.","",https://media.safariportal.app/store/asset/2088563/file/312fd9c6ded767454ab9629558bc481c.jpg
Zenbo Seinei,Japan,Awaji Island,Zenbo Seinei,"34.578786,134.985478",https://media.safariportal.app/store/asset/2088631/file/8c6e1a61cd411b6c3e7670eb9ff268f2.jpg,,Property Overview,"Located on Awaji Island, Zenbo Seinei is a retreat designed for quiet focus, reflection, and well-being. Created by architect Shigeru Ban, the structure emphasizes natural materials and openness, with a long wooden deck and shared spaces oriented toward the surrounding landscape and sea.

Accommodations are intentionally simple, featuring private rooms with tatami-style beds and minimal furnishings, complemented by shared bathing facilities and footbaths. Guests have access to meditation, yoga, and wellness programs, as well as plant-based meals prepared with seasonal, locally sourced ingredients, reinforcing the retreat’s emphasis on balance and restraint.","",https://media.safariportal.app/store/asset/2088629/file/ed4a205ac5ce5f023437ca97e9023995.jpg
Log Onomichi,Japan,Onomichi,Log Onomichi,"34.409058,133.199479",https://media.safariportal.app/store/asset/2088696/file/5733942b5a31d1f91ede7822ffe52907.png,,Property Overview,"LOG is a cultural hotel and gathering place set on the slopes of Mount Senkōji in Onomichi, housed in the former Shinmichi Apartment built in 1963. Reimagined by Bijoy Jain of Studio Mumbai, his first project outside India, the building reflects a philosophy rooted in craftsmanship, human touch, and sensitivity to place. Positioned along the path to Senkōji Temple, LOG functions as both a destination and a pause point, where locals and visitors naturally cross paths.

The hotel offers six guest rooms designed around the idea of “be gentle,” with interiors softly wrapped in Japanese paper to create a calm, cocoon-like atmosphere. Shared spaces include a library, garden, café, and dining room, where seasonal, ingredient-driven cuisine by food creative Ai Hosokawa is served. From morning light meals to evening wines and cocktails, LOG balances accommodation, food, and design as an integrated expression of Onomichi’s landscape, culture, and everyday life.","",https://media.safariportal.app/store/asset/2088683/file/52f724063a5b53d9fb46adbc243b21cd.jpeg
